sample_id	sample	sampling	exit_code	nixnan_log_size	stdout_log	nixnan_log
AllGatherMatmul	samples/AllGatherMatmul.py	0	0	92	nixnan_samples/AllGatherMatmul/data/stdout.nnlog	nixnan_samples/AllGatherMatmul/data/nixnan.nnlog
AttentionFMHA	samples/AttentionFMHA.py	500	0	11696100665	nixnan_samples/AttentionFMHA/data/stdout.nnlog	nixnan_samples/AttentionFMHA/data/nixnan.nnlog
BatchMatMul	samples/BatchMatMul.py	0	0	310546081	nixnan_samples/BatchMatMul/data/stdout.nnlog	nixnan_samples/BatchMatMul/data/nixnan.nnlog
FFT_correctness	samples/FFT.py	0	0	132193	nixnan_samples/FFT_correctness/data/stdout.nnlog	nixnan_samples/FFT_correctness/data/nixnan.nnlog
FFT	samples/FFT.py	0	0	101297	nixnan_samples/FFT/data/stdout.nnlog	nixnan_samples/FFT/data/nixnan.nnlog
LayerNorm	samples/LayerNorm.py	0	0	925044378	nixnan_samples/LayerNorm/data/stdout.nnlog	nixnan_samples/LayerNorm/data/nixnan.nnlog
MatMul	samples/MatMul.py	0	0	188582263	nixnan_samples/MatMul/data/stdout.nnlog	nixnan_samples/MatMul/data/nixnan.nnlog
MoE	samples/MoE.py	10	0	1873187738	nixnan_samples/MoE/data/stdout.nnlog	nixnan_samples/MoE/data/nixnan.nnlog
Transpose	samples/Transpose.py	0	0	68547801	nixnan_samples/Transpose/data/stdout.nnlog	nixnan_samples/Transpose/data/nixnan.nnlog
VA_ovflo_nixnan	samples/quickstart/VA_ovflo_nixnan.py	0	0	73160	nixnan_samples/VA_ovflo_nixnan/data/stdout.nnlog	nixnan_samples/VA_ovflo_nixnan/data/nixnan.nnlog
VectorAddition	samples/VectorAddition.py	0	0	398842093	nixnan_samples/VectorAddition/data/stdout.nnlog	nixnan_samples/VectorAddition/data/nixnan.nnlog
VectorAdd_quickstart	samples/quickstart/VectorAdd_quickstart.py	0	0	143853	nixnan_samples/VectorAdd_quickstart/data/stdout.nnlog	nixnan_samples/VectorAdd_quickstart/data/nixnan.nnlog
